Date,Open,High,Low,Close,Adj Close,Volume
2014-02-20,9.397580,10.179900,8.701110,9.082740,9.082740,469629
2014-02-21,9.340340,10.523400,9.187690,10.017700,10.017700,175244
2014-02-24,10.065400,12.660500,10.065400,11.544200,11.544200,218342
2014-02-25,12.021300,13.089800,10.828700,10.876400,10.876400,144594
2014-02-26,10.876400,11.353400,10.532900,10.609300,10.609300,43966
2014-02-27,10.609300,10.771400,10.122700,10.389800,10.389800,72652
2014-02-28,10.399400,10.418400,10.094100,10.094100,10.094100,21809
2014-03-03,10.036800,10.036800,9.559780,9.569320,9.569320,55030
2014-03-04,9.588400,9.989110,9.588400,9.989110,9.989110,90234
2014-03-05,10.246700,10.380300,10.113100,10.208500,10.208500,24791
2014-03-06,10.351700,10.351700,9.855540,10.332600,10.332600,88107
2014-03-07,10.323000,11.048100,10.218100,10.475700,10.475700,36216
2014-03-10,10.971800,11.038600,10.532900,10.781000,10.781000,41232
2014-03-11,10.828700,10.876400,10.599700,10.733300,10.733300,14393
2014-03-12,10.771400,10.771400,10.447100,10.475700,10.475700,10826
2014-03-13,10.447100,10.494800,10.284900,10.313500,10.313500,12580
2014-03-14,10.256200,10.256200,9.664720,9.903240,9.903240,24409
2014-03-17,9.903240,9.903240,9.645640,9.874620,9.874620,15423
2014-03-18,9.893700,9.893700,9.683810,9.788750,9.788750,12759
2014-03-19,9.788750,9.903240,9.788750,9.865080,9.865080,9233
2014-03-20,9.903240,9.903240,9.636100,9.769670,9.769670,12609
2014-03-21,9.807830,9.865080,9.655180,9.683810,9.683810,14822
2014-03-24,9.779210,9.779210,9.569320,9.588400,9.588400,8362
2014-03-25,9.588400,9.874620,9.512070,9.578860,9.578860,20132
2014-03-26,9.559780,9.826910,9.512070,9.731510,9.731510,9760
2014-03-27,9.826910,9.826910,9.607480,9.693350,9.693350,5787
2014-03-28,9.826910,9.826910,9.664720,9.826910,9.826910,8422
2014-03-31,9.874620,10.313500,9.826910,10.017700,10.017700,11755
2014-04-01,10.284900,10.284900,9.731510,10.208500,10.208500,10560
2014-04-02,10.208500,10.246700,9.922320,10.246700,10.246700,7267
2014-04-03,10.284900,10.284900,9.922320,10.208500,10.208500,10600
2014-04-04,10.218100,10.351700,10.027300,10.227600,10.227600,11470
2014-04-07,10.218100,10.227600,10.017700,10.065400,10.065400,10685
2014-04-08,10.065400,10.160800,9.826910,10.008200,10.008200,14037
2014-04-09,9.826910,10.008200,9.826910,10.008200,10.008200,7694
2014-04-10,9.912780,10.189500,9.731510,10.189500,10.189500,7584
2014-04-11,10.179900,10.179900,9.779210,9.826910,9.826910,6212
2014-04-14,9.826910,9.826910,9.540700,9.588400,9.588400,7833
2014-04-15,9.588400,9.588400,9.540700,9.540700,9.540700,4208
2014-04-16,9.540700,9.683810,9.540700,9.655180,9.655180,3825
2014-04-17,9.731510,9.731510,9.531150,9.588400,9.588400,5160
2014-04-22,9.731510,9.731510,9.502530,9.731510,9.731510,6643
2014-04-23,9.636100,9.731510,9.588400,9.731510,9.731510,1751
2014-04-24,9.721970,10.017700,9.655180,10.008200,10.008200,9399
