ISIN,Symbol,Market,Url,PID
FR0013088606,ALDRV,France,https://www.investing.com/equities/drone-volt-sa,951014
FR0000072993,ALMAK,France,https://www.investing.com/equities/makheia-group,943247
FR0000130809,SOGN,France,https://www.investing.com/equities/societe-generale,410
FR0010397232,ALNOV,France,https://www.investing.com/equities/novacyt,943299
FR0010613471,SEVI,France,https://www.investing.com/equities/suez-environnement-s.a.,8806
FR0013066750,ALDBT,France,https://www.investing.com/equities/dbt-sa,962347
FR0010208488,ENGIE,France,https://www.investing.com/equities/gdf-suez,395
FR0000131104,BNPP,France,https://www.investing.com/equities/bnp-paribas,396
FR0010493510,ALALO,France,https://www.investing.com/equities/acheter-louer,943311
FR0004032746,ALNEV,France,https://www.investing.com/equities/neovacs-sa,19723
FR0000031122,AIRF,France,https://www.investing.com/equities/air-france---klm,385
GB00BDSFG982,FTI,France,https://www.investing.com/equities/fmc-technologies-inc?cid=7006,7006
FR0000121501,PEUP,France,https://www.investing.com/equities/peugeot,402
FR0000127771,VIV,France,https://www.investing.com/equities/vivendi,415
FR0000079634,GECI,France,https://www.investing.com/equities/geci-intl,7112
FR0013495298,ALGAU,France,https://www.investing.com/equities/gaussin,943292
NL0000235190,AIR,France,https://www.investing.com/equities/eads,412
NL0000226223,STM,France,https://www.investing.com/equities/stmicroelectroni,417
FR0011051598,ALMIB,France,https://www.investing.com/equities/amoeba-sa,955876
FR0000131906,RENA,France,https://www.investing.com/equities/renault,419
FR0000120172,CARR,France,https://www.investing.com/equities/carrefour,404
FR0000120578,SASY,France,https://www.investing.com/equities/sanofi-aventis,414
FR0000125486,SGEF,France,https://www.investing.com/equities/vinci,418
FR0011950732,ELIOR,France,https://www.investing.com/equities/elior,943369
FR0013505583,ALCYB,France,https://www.investing.com/equities/cybergun,17730
FR0000121964,LOIM,France,https://www.investing.com/equities/klepierre,7070
FR0000120404,ACCP,France,https://www.investing.com/equities/accor,386
FR0000124141,VIE,France,https://www.investing.com/equities/veolia-environ,420
FR0000054322,CIBP,France,https://www.investing.com/equities/cibox-inter-activ,17718
FR0000120644,DANO,France,https://www.investing.com/equities/danone,394
FR0010533075,GETP,France,https://www.investing.com/equities/groupe-eurotunnel-s.a.,13102
FR0000125007,SGOB,France,https://www.investing.com/equities/saint-gobain,403
FR0000120503,BOUY,France,https://www.investing.com/equities/bouygues,397
FR0000121667,ESLX,France,https://www.investing.com/equities/essilor-internat,405
FR0013176526,VLOF,France,https://www.investing.com/equities/valeo,7022
FR0000130577,PUBP,France,https://www.investing.com/equities/publicis-groupe,6979
FR0006174348,BVI,France,https://www.investing.com/equities/bureau-verita,8788
FR0000039299,BOLL,France,https://www.investing.com/equities/bollore-s.a.,13163
FR0000073272,SAF,France,https://www.investing.com/equities/safran,6991
FR0010220475,ALSO,France,https://www.investing.com/equities/alstom,413
FR0004163111,GNFT,France,https://www.investing.com/equities/genfit-sa,19720
FR0011981968,WLN,France,https://www.investing.com/equities/worldline-sa,953852
